date,name,gross,recovered,net,classification,technique,chains,in_scope_chain,bridge_hack,target_type,is_defi_protocol,defillamaId,category,sector
2023-07-25,EraLend,3400000.0,0.0,3400000.0,Protocol Logic,Reentrancy,zkSync Era,False,False,DeFi Protocol,True,2746.0,Lending,Lending
2023-07-26,AlphaPo,60000000.0,0.0,60000000.0,Infrastructure,Private Key Compromised (Unknown Method),"Ethereum,Tron",True,False,CEX,False,,,Other
2023-07-30,Kannagi,1100000.0,0.0,1100000.0,Rugpull,Drained Contracts,"zkSync Era,Ethereum",True,False,DeFi Protocol,True,,,Other
2023-07-30,Curve DEX,61700000.0,0.0,61700000.0,Infrastructure,Vyper Compiler Bug,Ethereum,True,False,DeFi Protocol,True,3.0,Dexs,DEX
2023-08-01,LeetSwap,620000.0,0.0,620000.0,Protocol Logic,Liquidity Pools Compromised,Base,True,False,DeFi Protocol,True,2745.0,Dexs,DEX
2023-08-02,Bald,23000000.0,0.0,23000000.0,Rugpull,Drained Liquidity Pool,Base,True,False,DeFi Protocol,True,,,Other
2023-08-02,Uwerx,327000.0,0.0,327000.0,Ecosystem,Flashloan Pool Shares Exploit,Ethereum,True,False,Other,False,,,Other
2023-08-07,Cypher,1035000.0,0.0,1035000.0,,Unknown,Solana,True,False,DeFi Protocol,True,2575.0,Derivatives,Derivatives
2023-08-08,Steadefi,1157000.0,0.0,1157000.0,Protocol Logic,Deployer Wallet Compromised,Ethereum,True,False,DeFi Protocol,True,2972.0,Leveraged Farming,Other
2023-08-09,Earning.Farm,540000.0,0.0,540000.0,Protocol Logic,Reentrancy,Ethereum,True,False,DeFi Protocol,True,,,Other
2023-08-13,Zunami Protocol,2100000.0,0.0,2100000.0,Ecosystem,Price Manipulation Attack,Ethereum,True,False,DeFi Protocol,True,1201.0,Yield Aggregator,Yield
2023-08-15,RocketSwap Base,865000.0,0.0,865000.0,Infrastructure,Private Key Compromised (Brute Force),Base,True,False,DeFi Protocol,True,3314.0,Dexs,DEX
2023-08-18,Exactly,7200000.0,0.0,7200000.0,Protocol Logic,DebtManager Exploit,Optimism,True,False,DeFi Protocol,True,2385.0,Lending,Lending
2023-08-19,Harbor Protocol,0.0,0.0,0.0,,,Comdex,True,False,DeFi Protocol,True,2388.0,CDP,Lending
2023-08-25,Magnate Finance,6400000.0,0.0,6400000.0,Rugpull,Drained Contracts,Base,True,False,DeFi Protocol,True,3342.0,Lending,Lending
2023-08-27,Balancer V2,800000.0,0.0,800000.0,Protocol Logic,,Ethereum,True,False,DeFi Protocol,True,2611.0,Dexs,DEX
2023-09-01,SharedStake,175000.0,0.0,175000.0,Protocol Logic,Ownership Override Attack,Ethereum,True,False,DeFi Protocol,True,275.0,Liquid Staking,Derivatives
2023-09-04,Stake.com,41300000.0,0.0,41300000.0,Infrastructure,Private Key Compromised (Unknown Method),"Ethereum,BSC,Polygon",True,False,Other,False,,,Other
2023-09-06,GMBL.COMPUTER,815000.0,0.0,815000.0,Protocol Logic,Referral Claims Logic Exploit,Arbitrum,True,False,DeFi Protocol,True,,,Other
2023-09-12,CoinEx,55000000.0,0.0,55000000.0,Infrastructure,Private Key Compromised (Unknown Method),"Ethereum,BSC,Bitcoin,Tron,Kadena,Solana,Dagger,XRP,BitcoinCash,Polygon,Stellar,Arbitrum",True,False,CEX,False,,CEX,Other
2023-09-15,Remitano,2700000.0,0.0,2700000.0,Infrastructure,Private Key Compromised (Unknown Method),"Ethereum,Tron,BitcoinCash",True,False,CEX,False,,,Other
2023-09-19,Balancer V2,238000.0,0.0,238000.0,Protocol Logic,Frontend Attack,Ethereum,True,False,DeFi Protocol,True,2611.0,Dexs,DEX
2023-09-23,Mixin Network,200000000.0,0.0,200000000.0,Infrastructure,Database Attack,Mixin,True,False,Other,False,,,Other
2023-09-25,HTX,8000000.0,0.0,8000000.0,Infrastructure,Private Key Compromised (Unknown Method),Ethereum,True,False,CEX,False,,CEX,Other
2023-10-07,Arena SocialFi,2900000.0,0.0,2900000.0,Protocol Logic,Reentrancy,Avalanche,True,False,Other,False,3564.0,SoFi,Other
2023-10-13,Platypus Finance,2200000.0,0.0,2200000.0,Protocol Logic,Reentrancy,Avalanche,True,False,DeFi Protocol,True,,Dexs,DEX
2023-10-23,Maestro,465000.0,465000.0,0.0,Protocol Logic,Arbitrary External Call,Ethereum,True,False,DeFi Protocol,True,,Telegram Bot,Other
2023-10-29,Astrid Finance,228000.0,0.0,228000.0,Protocol Logic,Withdraw Function Argument Manipulation,Ethereum,True,False,DeFi Protocol,True,,,Other
2023-10-31,Unibot,640000.0,0.0,640000.0,Protocol Logic,Token approval exploit,Ethereum,True,False,DeFi Protocol,True,3106.0,Telegram Bot,Other
2023-11-01,Onyx Protocol,2100000.0,0.0,2100000.0,Ecosystem,Flashloan Donate Function Logic Exploit,Ethereum,True,False,DeFi Protocol,True,1631.0,Lending,Lending
2023-11-09,CoinSpot,2400000.0,0.0,2400000.0,Infrastructure,Private Key Compromised (Unknown Method),Ethereum,True,False,CEX,False,,,Other
2023-11-10,Raft,3300000.0,0.0,3300000.0,Protocol Logic,Infinite Mint and Dump,Ethereum,True,False,DeFi Protocol,True,3068.0,CDP,Lending
2023-11-10,Poloniex,126000000.0,0.0,126000000.0,Infrastructure,Private Key Compromised (Unknown Method),"Tron,Ethereum,Bitcoin",True,False,CEX,False,,CEX,Other
2023-11-18,Kronos Research,26000000.0,0.0,26000000.0,Infrastructure,API Key unauthorized access,Ethereum,True,False,Other,False,,,Other
2023-11-18,dYdX V3,9000000.0,0.0,9000000.0,Protocol Logic,Price Manipulation Attack,Ethereum,True,False,DeFi Protocol,True,144.0,Derivatives,Derivatives
2023-11-22,Huobi,26400000.0,0.0,26400000.0,Infrastructure,Private Key Compromised (Unknown Method),Ethereum,True,False,CEX,False,,,Other
2023-11-22,KyberSwap Elastic,48000000.0,0.0,48000000.0,Protocol Logic,Flashloan Swap Logic Exploit,"Ethereum,Base,Polygon,Optimism,Arbitrum",True,False,DeFi Protocol,True,2615.0,Dexs,DEX
2023-11-22,Heco Bridge,86600000.0,0.0,86600000.0,Infrastructure,Private Key Compromised (Unknown Method),Ethereum,True,True,DeFi Protocol,True,,,Bridge
2023-11-30,Florence Finance,1450000.0,0.0,1450000.0,Infrastructure,Address Poisoning,Ethereum,True,False,DeFi Protocol,True,3197.0,RWA Lending,Lending
