id,date,name,category,chain,funds_lost,funds_recovered,funds_returned,scam_type,scam_parent,year
3640,2023-07-26,Terk The Gorilla,Token,,122440.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2023
3641,2023-07-28,Elon Pepe,Token,,205796.0,0.0,0.0,Honeypot,Exit Scam/Honeypot,2023
3642,2023-07-31,Bald,Token,,23129572.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2023
3643,2023-07-30,Vyper,Exchange (DEX),,50476970.0,0.0,6820757.0,Reentrancy,Exploit/Reentrancy,2023
3644,2023-08-01,LeetSwap,Exchange (DEX),,628583.0,0.0,0.0,Other,Exploit/Other,2023
3645,2023-07-29,Hu Tao Spirit Soother,Token,,299828.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2023
3646,2023-07-29,RAIDEN GOD Thunder,Token,,37977.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2023
3647,2023-07-28,zkSync Copycat,Token,,201549.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2023
3648,2023-07-28,DeFido,Token,,113971.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2023
3649,2023-08-03,Apache NFT SalesRoom,Token,,617960.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2023
3650,2023-08-01,Majin Buu,Token,,168213.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2023
3651,2023-08-02,One For The Books,Token,,46150.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2023
3652,2023-07-22,CoinsPaid,Other,,37000000.0,0.0,0.0,Other,Exploit/Other,2023
3653,2023-07-08,Civilization,Other,,180474.0,0.0,0.0,Other,Exploit/Other,2023
3654,2023-08-05,BitLord,Token,,566201.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2023
3655,2023-08-02,Satori,Token,,225765.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2023
3656,2023-08-03,LK-99 Protocol,Token,,151735.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2023
3657,2023-08-04,Tommy VICE CITY,Token,,308248.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2023
3658,2023-08-07,Speadefi,Yield Aggregator,,1148309.0,0.0,0.0,Access Control,Exploit/Access control,2023
3659,2023-08-06,Plankton Plankton,Token,,288021.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2023
3660,2023-08-07,Cypher Protocol,Exchange (DEX),,1000000.0,0.0,0.0,Other,Exploit/Other,2023
3661,2023-08-04,MotherOfAllMemes,Token,,40000.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2023
3662,2023-08-06,Coin,Token,,42000.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2023
3663,2023-08-09,Earning Farm,Other,,541381.0,0.0,0.0,Reentrancy,Exploit/Reentrancy,2023
3664,2023-08-02,DeriTrade,Stablecoin,,13411.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2023
3665,2023-08-02,Uwerx,Other,,324254.0,0.0,0.0,Flash Loan Attack,Exploit/Flash Loan Attack,2023
3666,2023-08-07,BabyShiba2.0,Token,,70000.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2023
3667,2023-07-26,Carson,Token,,144000.0,0.0,0.0,Flash Loan Attack,Exploit/Flash Loan Attack,2023
3668,2023-07-20,Utopia,Token,,120018.0,0.0,0.0,Other,Exploit/Other,2023
